Id,Group,RiskType,Who,Stock_LIkelihood,Stock_Risk,Vaccination_Likelihood,Vaccination_Risk,Pension_Likelihood,Pension_Risk,Parked Car_Likelihood,Parked Car_Risk,Attention,PRT1,PRT2,PRT3,PRT4,PRT5,PRT6,PRT7,PRT8,PRT9,PRT10,PRT11,PRT12,PRT13,PRT14,PRT15,PRT16,PRT17,PRT18,PRT19,PRT20,PRT21,PRT22,PRT23,PRT24,PRT25,DOS1,DOS2,DOS3,DOS4,DOS5,DOS6,DOS7,DOS8,DOS9,DOS10,DOS11,DOS12,DOS13,DOS14,DOS15,DOS16,DOS17,DOS18,DOS19,DOS20,DOS21,DOS22,DOS23,DOS24,DOS25,DOS26,DOS27,DOS28,DOS29,DOS30,Gender,Age,Politic,EDU,Active,Passive
S11,1,Active,Self,6,5,6,5,6,5,6,5,6897,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,6,5,6,5,6,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,1,35,1,6,6,6
S12,1,Active,Self,5,6,5,4,6,6,5,4,6897,3,2,3,1,2,1,2,3,2,1,2,3,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,1,2,1,2,3,3,1,44,1,5,5,6
S13,1,Active,Self,6,5,5,6,5,6,5,6,6897,4,7,7,6,7,6,7,7,6,7,7,6,5,6,7,6,7,6,7,6,6,7,7,6,6,6,6,7,6,7,6,7,6,7,7,7,6,7,6,7,6,7,7,6,7,6,7,7,7,6,7,6,7,7,6,1,30,2,2,6,5
S14,2,Active,Other,5,6,6,5,6,5,6,5,6897,6,5,6,5,6,7,6,7,7,6,7,6,6,7,6,7,6,7,6,7,6,7,7,6,5,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,1,30,1,8,7,6
S15,2,Active,Other,7,6,7,7,6,7,6,5,6897,7,6,5,6,6,7,7,5,6,5,5,6,6,5,6,7,6,6,7,7,6,6,7,6,7,6,5,6,7,7,7,6,6,7,7,6,6,7,6,7,6,5,5,6,7,7,5,6,7,6,7,6,6,5,7,2,25,2,5,7,6
S16,2,Active,Other,6,6,6,6,6,6,6,6,6897,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,1,35,1,6,6,6
S17,2,Active,Other,6,5,5,6,6,5,6,7,6897,5,6,5,4,4,6,3,1,3,2,3,2,2,3,2,2,1,3,3,2,4,2,2,3,1,3,1,1,2,2,1,2,2,1,2,2,1,2,3,3,2,1,3,3,1,2,1,2,1,2,2,1,2,2,1,1,30,1,5,6,5
S18,2,Active,Other,7,6,6,5,6,7,6,7,6897,5,6,7,6,7,7,5,6,7,6,5,6,7,6,7,7,6,7,7,6,5,6,7,5,6,6,7,6,5,6,6,7,5,6,6,7,5,6,7,5,5,7,6,6,5,6,7,5,5,6,6,7,5,5,6,2,22,2,5,7,6
S19,2,Active,Other,4,5,6,5,6,7,5,4,6897,3,2,3,2,2,1,2,3,2,1,2,2,3,2,2,3,3,3,1,2,2,1,2,1,2,2,1,2,3,2,2,1,2,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,1,44,1,5,6,4
S20,2,Active,Other,6,5,6,5,6,5,6,5,6897,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,6,5,6,5,6,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,6,5,6,5,6,1,37,1,6,6,6
S21,2,Active,Other,6,6,6,6,6,6,6,6,6897,6,7,6,7,6,7,5,6,7,6,5,6,6,7,6,5,6,6,7,6,5,6,6,7,6,6,7,6,7,6,7,6,5,6,7,6,7,6,7,6,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,2,35,2,6,6,6
S22,2,Active,Other,6,7,6,7,6,7,6,7,6897,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,1,35,1,6,6,6
S23,2,Active,Other,6,5,6,6,6,4,6,4,6897,7,3,3,4,3,5,3,4,5,3,7,3,6,5,6,7,3,5,5,5,6,4,6,3,4,3,5,3,4,6,3,4,4,4,4,4,4,6,3,4,4,3,3,6,3,3,6,3,5,4,4,6,3,6,5,1,30,2,2,6,5
S24,2,Active,Other,6,7,6,7,6,7,6,7,6897,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,1,35,1,5,6,6
S25,3,Passive,Self,2,5,6,6,5,5,5,4,6897,6,4,5,4,5,5,5,4,5,7,5,6,6,6,4,6,6,5,6,4,6,5,5,6,7,5,4,6,5,5,5,6,4,6,5,5,6,4,6,5,6,4,6,6,4,5,6,4,6,5,5,3,6,5,4,1,32,1,3,5,5
S26,3,Passive,Self,3,4,6,7,2,6,1,4,6897,7,6,6,7,6,7,7,6,7,7,6,6,7,6,7,7,6,6,7,6,7,7,7,6,7,7,6,7,6,7,7,6,7,6,7,7,6,7,6,7,7,6,7,7,6,7,6,7,7,6,7,6,6,7,6,2,32,1,5,6,5
S27,3,Passive,Self,2,6,6,6,2,6,2,6,6897,6,7,6,7,6,7,6,7,6,7,5,6,5,6,7,6,7,6,7,6,7,5,6,7,6,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,6,7,6,7,6,1,35,2,6,6,6
S28,3,Passive,Self,2,4,3,5,6,6,4,2,6897,6,5,6,4,7,4,6,2,3,3,4,6,3,5,5,3,5,6,7,5,6,5,4,6,1,6,4,4,5,1,5,3,5,5,4,5,5,5,4,4,6,5,4,5,4,6,5,6,5,6,5,5,5,3,6,1,46,1,5,5,6
